source,target,group
Unidentified Armed Group (South Africa),Civilians (International),10
Unidentified Communal Militia (South Africa),Civilians (South Africa),6
ANC: African National Congress,UDM: United Democratic Movement,1
Unidentified Armed Group (South Africa),Civilians (Zimbabwe),2
KwaZulu-Natal Communal Militia (South Africa),KwaZulu-Natal Communal Militia (South Africa),3
Xhosa Ethnic Militia (South Africa),Civilians (South Africa),2
Xhosa Ethnic Militia (South Africa),Police Forces of South Africa (1994-),1
UMSA: Unemployed Masses of South Africa,Civilians (South Africa),15
Afrikaner Ethnic Militia (South Africa),Civilians (South Africa),20
Military Forces of South Africa (1994-),Unidentified Armed Group (South Africa),4
UDM: United Democratic Movement,Civilians (South Africa),2
Boermag Militia,Civilians (South Africa),13
Boermag Militia,Police Forces of South Africa (1994-),4
Mabaso Ethnic Militia (South Africa),Mvelase Ethnic Militia (South Africa),7
Rioters (South Africa),Rioters (Mozambique),3
Police Forces of South Africa (1994-),Police Forces of South Africa (1994-),20
Police Forces of South Africa (1994-),Protesters (South Africa),22
Unidentified Armed Group (South Africa),Civilians (Swaziland),28
Vigilante Militia (South Africa),Civilians (Zimbabwe),21
AWB: Afrikaner Resistance Movement,Police Forces of South Africa (1994-),75
Unidentified Armed Group (South Africa),Civilians (Somalia),32
Rioters (Democratic Republic of Congo),Police Forces of South Africa (1994-),10
Protesters (Democratic Republic of Congo),Police Forces of South Africa (1994-),1
Police Forces of South Africa (1994-),Civilians (Zimbabwe),23
Police Forces of South Africa (1994-),Unidentified Armed Group (South Africa),7
Private Security Forces (South Africa),Rioters (South Africa),2
Unidentified Ethnic Militia (South Africa),Civilians (South Africa),45
Police Forces of South Africa (1994-),AWB: Afrikaner Resistance Movement,7
NFP: National Freedom Party,Civilians (South Africa),18
ANC-Motlanthe: African National Congress (Motlanthe Faction),Civilians (South Africa),4
Unidentified Armed Group (South Africa),Protesters (South Africa),18
Police Forces of South Africa (1994-),Civilians (Somalia),3
ANC-Zuma: African National Congress (Zuma Faction),ANC-Motlanthe: African National Congress (Motlanthe Faction),2
Unidentified Armed Group (South Africa),Vigilante Militia (South Africa),25
AMCU: Association of Mineworkers and Construction Union,Civilians (South Africa),15
MKVMA: Mkhonto weSizwe Military Veterans Association,Civilians (South Africa),22
NUM: National Union of Mineworkers,AMCU: Association of Mineworkers and Construction Union,14
Red Ants Militia,Civilians (South Africa),41
Protesters (South Africa),Red Ants Militia,2
Police Forces of South Africa (1994-),Vigilante Militia (South Africa),5
Police Forces of South Africa (1994-),Civilians (Nigeria),1
Police Forces of South Africa (1994-),UNR: Union of Nationalists for Renewal,1
Unidentified Armed Group (South Africa),Civilians (Nigeria),7
Xhosa Ethnic Militia (South Africa),Civilians (Angola),28
Rioters (South Africa),Civilians (International),5
Private Security Forces (South Africa),Civilians (South Africa),39
Protesters (South Africa),ANC: African National Congress,5
NUMSA: National Union of Metalworkers of South Africa,Civilians (South Africa),1
NUM: National Union of Mineworkers,Civilians (South Africa),12
Private Security Forces (South Africa),Civilians (Nigeria),151
Vigilante Militia (South Africa),Civilians (Nigeria),19
Abahwebi baKwaMashu,Civilians (Somalia),53
Protesters (South Africa),Unidentified Armed Group (South Africa),8
Msinga Communal Militia (South Africa),Civilians (South Africa),18
Unidentified Armed Group (South Africa),Xolobeni Communal Militia (South Africa),14
Transport Livelihood Militia (South Africa),Civilians (South Africa),4
Unidentified Armed Group (South Africa),Civilians (Ethiopia),10
Khuleka Communal Militia (South Africa),Masemeni Communal Militia (South Africa),45
Protesters (International),Police Forces of South Africa (1994-),12
Unidentified Armed Group (South Africa),Private Security Forces (South Africa),6
Unidentified Armed Group (International),Rioters (South Africa),25
EFF: Economic Freedom Fighters,Civilians (South Africa),3
Vigilante Militia (South Africa),Civilians (International),3
Rioters (South Africa),Civilians (Ethiopia),5
CWU: Communication Workers Union,Civilians (South Africa),14
Military Forces of Lesotho (1998-2012),Military Forces of South Africa (1994-),263
ANC-Zuma: African National Congress (Zuma Faction),Civilians (South Africa),38
Private Security Forces (South Africa),Unidentified Armed Group (South Africa),12
Jesurun Brotherhood,Police Forces of South Africa (1994-),6
Police Forces of South Africa (1994-),Civilians (Lesotho),7
SATAWU: South African Transport and Allied Workers Union,Civilians (South Africa),27
Police Forces of South Africa (1994-),Msinga Communal Militia (South Africa),7
Labour Union Faction Militia,Labour Union Faction Militia,19
Unidentified Armed Group (South Africa),Civilians (Mozambique),2
Volksraad Verkiesing Kommissie Party,Civilians (South Africa),9
Military Forces of South Africa (1994-),Military Forces of Lesotho (1998-2012),6
Rioters (Democratic Republic of Congo),Rioters (Republic of Congo),8
Unidentified Armed Group (Swaziland),Police Forces of South Africa (1994-),47
Rioters (South Africa),Civilians (Malawi),50
DA: Democratic Alliance,COSATU: Congress of South African Trade Unions,6
Msinga Communal Militia (South Africa),Msinga Communal Militia (South Africa),17
Vigilante Militia (South Africa),Civilians (Democratic Republic of Congo),5
Prison Guards (South Africa),Civilians (South Africa),1
NFP: National Freedom Party,IFP: Inkatha Freedom Party,39
BRA: Bushbuckridge Residents Association,Civilians (South Africa),15
Unidentified Armed Group (South Africa),Civilians (South Sudan),31
PSCSA: Palestine Solidarity Committee of South Africa,Civilians (International),23
Rioters (South Africa),Civilians (Zimbabwe),6
Police Forces of South Africa (1994-),ANC: African National Congress,31
Police Forces of South Africa (1994-),IFP: Inkatha Freedom Party,1
Rioters (International),Prison Guards (South Africa),24
FFP: Federal Freedom Party,Police Forces of South Africa (1994-),1
ANC: African National Congress,Civilians (Zimbabwe),5
Mhlwazini Communal Militia (South Africa),Magangangozi Communal Militia (South Africa),18
Unidentified Armed Group (South Africa),Civilians (Kenya),16
Military Forces of South Africa (1994-),Civilians (South Africa),38
Rioters (South Africa),Civilians (Mozambique),74
Protesters (South Africa),Police Forces of Swaziland (1986-),43
Vigilante Militia (Zimbabwe),Civilians (South Africa),21
Unidentified Communal Militia (South Africa),Unidentified Communal Militia (South Africa),8
Police Forces of South Africa (1994-),Protesters (Democratic Republic of Congo),6
CWIU: Chemical Workers Industrial Union Militia,Civilians (South Africa),67
Rioters (South Africa),Unidentified Armed Group (South Africa),23
COSAS: Congress of South African Students,PASMA: Pan Africanist Student Movement of Azania,39
Military Forces of South Africa (1994-),Police Forces of South Africa (1994-),33
Bapo Ba Mogale Tribal Authority,Civilians (South Africa),5
BNW: Boer National Warriors Militia,Police Forces of South Africa (1994-),32
Unidentified Armed Group (Tanzania),Police Forces of South Africa (1994-),9
Hlubi Ethnic Militia (South Africa),Xhosa Ethnic Militia (South Africa),2
Sotho Ethnic Militia (South Africa),Shona Ethnic Militia (South Africa),34
Unidentified Armed Group (South Africa),Civilians (Malawi),5
Unidentified Armed Group (South Africa),Government of South Africa (1994-),22
Militia (Students),Civilians (South Africa),66
Militia (Students),Police Forces of South Africa (1994-),1
Police Forces of South Africa (1994-),Rioters (International),90
Police Forces of South Africa (1994-),Civilians (International),61
PAGAD: People Against Gangsterism and Drugs,Unidentified Armed Group (South Africa),44
Rioters (Nigeria),Police Forces of South Africa (1994-),7
Rioters (South Africa),Vigilante Militia (South Africa),39
Rioters (South Africa),Civilians (Burundi),14
NASMO: National Students Movement,SASCO: South Africa Students Congress,65
UDM: United Democratic Movement,ANC: African National Congress,10
ANC: African National Congress,Agang South Africa Party,14
MAGO: Muslims Against Global Oppression,Civilians (South Africa),3
Military Forces of South Africa (1994-),Civilians (Zimbabwe),23
Rioters (Zimbabwe),Police Forces of South Africa (1994-),13
Rioters (Somalia),Rioters (South Africa),7
Police Forces of South Africa (1994-),Rioters (Ethiopia),19
Police Forces of South Africa (1994-),Civilians (Mozambique),97
Rioters (International),Police Forces of South Africa (1994-),83
Hamsini Communal Militia (South Africa),Ntsimbini Communal Militia (South Africa),4
Vigilante Militia (South Africa),Unidentified Armed Group (South Africa),25
ANC: African National Congress,Police Forces of South Africa (1994-),29
ANC: African National Congress,ANC: African National Congress,11
SAMWU: South African Municipal Workers Union,Civilians (South Africa),74
BTA: Benoni Taxi Association Militia,DKP: Davyeton/Kempton Park Militia,26
Xhosa Ethnic Militia (South Africa),Shangaan Ethnic Militia (South Africa),37
Unidentified Armed Group (South Africa),Mhwaduba Ethnic Militia (South Africa),77
Police Forces of South Sudan (2011-),UDF: United Democratic Front,39
LRA: Lords Resistance Army,Police Forces of South Sudan (2011-),1
LRA: Lords Resistance Army,Civilians (South Sudan),2
SSLM/A: South Sudan Liberation Movement/Army,Military Forces of South Sudan (2011-),1
LRA: Lords Resistance Army,Civilians (Sudan),2
Military Forces of Sudan (1989-),Military Forces of South Sudan (2011-),3
George Athor Deng Rebel Group,Civilians (Sudan),1
George Athor Deng Rebel Group,Military Forces of South Sudan (2011-),2
Lou Nuer Ethnic Militia (South Sudan),Murle Ethnic Militia (South Sudan),6
Military Forces of South Sudan (2011-),Military Forces of Sudan (1989-),4
Dinka Ngok Ethnic Militia (Sudan),Dinka Rek Ethnic Militia (Sudan),4
Yau Yau Rebels,Civilians (South Sudan),4
Dinka Ngok Ethnic Militia (Sudan),Civilians (South Sudan),1
Yau Yau Rebels,Military Forces of South Sudan (2011-),16
Military Forces of South Sudan (2011-),Military Forces of Uganda (1986-),2
Police Forces of South Sudan (2011-),Police Forces of South Sudan (2011-),2
Military Forces of South Sudan (2011-),Yau Yau Rebels,4
Panyon Communal Militia (South Sudan),Amothnhon Communal Militia (South Sudan),1
Gok Ethnic Militia (Sudan),Gok Ethnic Militia (Sudan),13
Police Forces of South Sudan (2011-),Rioters (South Sudan),3
Police Forces of South Sudan (2011-),Protesters (South Sudan),7
Murle Ethnic Militia (South Sudan),Police Forces of South Sudan (2011-),4
Police Forces of South Sudan (2011-),Military Forces of South Sudan (2011-),6
Military Forces of South Sudan (2011-),Lou Nuer Ethnic Militia (South Sudan),5
Nuer Ethnic Militia (Sudan),Military Forces of South Sudan (2011-),9
Militia (David Kuburin),Military Forces of South Sudan (2011-),1
Military Forces of Sudan (1989-),Police Forces of South Sudan (2011-),4
Olonyi Rebel Group,Military Forces of South Sudan (2011-),5
Unidentified Armed Group (South Sudan),Bor Clan Dinka Ethnic Militia (South Sudan),2
Government of South Sudan (2011-),Yau Yau Rebels,17
Dinka Pakam Ethnic Militia (Sudan),Civilians (South Sudan),1
Unidentified Ethnic Militia (South Sudan),Unidentified Ethnic Militia (South Sudan),9
Bor Clan Dinka Ethnic Militia (Sudan),Unidentified Ethnic Militia (Sudan),31
Gok Ethnic Militia (South Sudan),Leek Ethnic Militia (South Sudan),5
Deer Clan Dinka Ethnic Militia (South Sudan),Koch Clan Dinka Ethnic Militia (South Sudan),3
Police Forces of South Sudan (2011-),Unidentified Ethnic Militia (South Sudan),4
UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Yau Yau Rebels,9
Rumbek Communal Militia (South Sudan),Civilians (South Sudan),3
Military Forces of South Sudan (2011-),Gok Dinka Ethnic Militia (South Sudan),6
Lou Nuer Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),6
Police Forces of South Sudan (2011-) Service Auxiliary Force,Civilians (South Sudan),2
Military Forces of South Sudan (2011-),Mutiny of Military Forces of South Sudan (2011-),11
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Duk Youth Militia (South Sudan),9
Amonhim Communal Militia (South Sudan),Tiek Clan Militia (South Sudan),2
Unidentified Clan Militia (South Sudan),Civilians (South Sudan),2
Bari Ethnic Militia (South Sudan),Omorwo Ethnic Militia (South Sudan),2
GEYL: Greater Equatoria Youth Leadership,NYU: National Youth Union,5
Tonj East Communal Militia (South Sudan),Tonj North Communal Militia (South Sudan),3
Military Forces of Uganda (1986-),Civilians (South Sudan),8
Bor Clan Dinka Ethnic Militia (South Sudan),Lou Nuer Ethnic Militia (South Sudan),6
Unidentified Ethnic Militia (South Sudan),Twic East Area Youth Militia (South Sudan),1
Protesters (South Sudan),Rioters (South Sudan),24
Maridi Communal Militia (South Sudan),Military Forces of South Sudan (2011-),4
Dacuek Ethnic Militia (South Sudan),Ayual Ethnic Militia (South Sudan),1
MDF: Mabanese Defence Forces,Former Military Forces of South Sudan (2011-),2
Military Forces of South Sudan (2011-),Civilians (Uganda),2
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Nuer Ethnic Militia (South Sudan),1
Acholi Ethnic Militia (South Sudan),Lulubo Ethnic Militia (South Sudan),26
MDF: Mabanese Defence Forces,Civilians (South Sudan),6
Rioters (South Sudan),Military Forces of South Sudan (2011-),23
Shilluk Ethnic Militia (South Sudan),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,10
Military Forces of South Sudan (2011-)ÊPresidential Security Unit,Civilians (South Sudan),17
Yau Yau Rebels,Government of South Sudan (2011-),1
Government of Sudan (1989-),Government of South Sudan (2011-),1
Maban Communal Militia (South Sudan),Unidentified Armed Group (Sudan),9
Unidentified Communal Militia (South Sudan),Kozoro Communal Militia (South Sudan),10
Loroyo Communal Militia (South Sudan),Idali Communal Militia (South Sudan),3
Mutiny of Military Forces of South Sudan (2011-),Civilians (South Sudan),2
Police Forces of South Sudan (2011-),Civilians (Ethiopia),26
Kuei Ethnic Militia (South Sudan),Rup Dinka Ethnic Militia (South Sudan),8
Gaak Communal Militia (South Sudan),Manuer Communal Militia (South Sudan),5
Former Military Forces of South Sudan (2011-),Civilians (South Sudan),4
Thuyic Ethnic Militia (South Sudan),Adol Clan Dinka Ethnic Militia (South Sudan),6
Cueibet Communal Militia (South Sudan),Choldong Communal Militia (South Sudan),1
Cueibet Communal Militia (South Sudan),Civilians (South Sudan),1
Nykapo Clan Militia (South Sudan),Tokarei Clan Militia (South Sudan),22
Police Forces of South Sudan (2011-),Unidentified Communal Militia (South Sudan),2
Dinka Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),10
JEM: Justice and Equality Movement,Civilians (South Sudan),3
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Government of Sudan (1989-),28
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Military Forces of Uganda (1986-),4
Police Forces of South Sudan (2011-),Civilians (Uganda),5
Nuer Ethnic Militia (South Sudan),Civilians (South Sudan),3
Durbaar Clan Militia (South Sudan),Durceek Clan Militia (South Sudan),6
Misseriya Ethnic Militia (South Sudan),Civilians (Sudan),1
Gok Dinka Ethnic Militia (South Sudan),Civilians (South Sudan),13
Arab Ethnic Militia (South Sudan),Civilians (South Sudan),2
Pagok Clan Militia (South Sudan),Pagok Clan Militia (South Sudan),1
Waat Communal Militia (South Sudan),Panyar Clan Militia (South Sudan),13
Twic East Area Youth Militia (South Sudan),Unidentified Armed Group (South Sudan),1
Panyar Clan Militia (South Sudan),Nyuei beag Communal Militia (South Sudan),1
Dinka Nyang Ethnic Militia (South Sudan),Rup Dinka Ethnic Militia (South Sudan),9
Protesters (South Sudan),UNMISS: United Nations Mission in the Republic of South Sudan (2011-),12
Police Forces of Sudan (1989-) National Intelligence and Security Services,Civilians (South Sudan),5
Shilluk Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),2
Military Forces of South Sudan (2011-) Military Intelligence Service,Civilians (Sudan),2
Unidentified Communal Militia (South Sudan),Civilians (International),1
Dinka Aguok Ethnic Militia (South Sudan),Dinka Agar Ethnic Militia (South Sudan),1
Unidentified Communal Militia (South Sudan),Military Forces of South Sudan (2011-),1
Misseriya Ethnic Militia (South Sudan),Dinka Ngok Ethnic Militia (South Sudan),5
Zande Ethnic Militia (Sudan),Dinka Ethnic Militia (South Sudan),1
Military Forces of South Sudan (2011-),SPLA/M-Gadet: Sudanese Peoples Liberation Army (Gadet Faction),3
Military Forces of South Sudan (2011-),Vigilante Militia (South Sudan),21
Ajang Clan Dinka Ethnic Militia (South Sudan),Awuor Clan Dinka Ethnic Militia (South Sudan),5
Military Forces of Uganda (1986-),Arrow Boys Militia,10
Military Forces of South Sudan (2011-),LRA: Lords Resistance Army,10
SPLA/M: Sudanese Peoples Liberation Army/Movement,Civilians (South Sudan),7
Arrow Boys Militia,Military Forces of South Sudan (2011-),22
Dinka Aguok Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),6
Nuer Ethnic Militia (South Sudan),Rumbek Communal Militia (South Sudan),2
Mathiang Anyoor,White Army (South Sudan),1
Unidentified Armed Group (South Sudan),Civilians (Eritrea),7
SSAF: South Sudan Armed Forces,Military Forces of South Sudan (2011-),13
SPLM-DC: Sudanese Peoples Liberation Movement (Democratic Change),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,11
Panyon Communal Militia (South Sudan),DhieiÊClanÊDinka Ethnic Militia (South Sudan),11
REMNASA: Revolutionary Movement for National Salvation,Military Forces of South Sudan (2011-),18
Bor Clan Dinka Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),30
Bul Nuer Ethnic Militia (South Sudan),Haak Nuer Ethnic Militia (South Sudan),2
Habbaniyah Ethnic Militia (Sudan),Rizaygat Ethnic Militia (Sudan),22
Military Forces of South Sudan (2011-),REMNASA: Revolutionary Movement for National Salvation,5
Thiik Communal Militia (South Sudan),Dinka Luach Ethnic Militia (South Sudan),25
Nuer Ethnic Militia (South Sudan),Anuak Ethnic Militia (South Sudan),1
Pagoor Communal Militia (South Sudan),Civilians (South Sudan),4
Misseriya Ethnic Militia (South Sudan),Unidentified Communal Militia (South Sudan),14
Unidentified Armed Group (South Sudan),Civilians (Ethiopia),11
Police Forces of South Sudan (2011-) National Security Service,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,37
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Civilians (Kenya),47
Dinka Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),10
Murle Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),1
Durbaar Clan Militia (South Sudan),Rup Clan Dinka Ethnic Militia (South Sudan),22
Government of South Sudan (2011-),Government of South Sudan (2011-),105
Military Forces of South Sudan (2011-)ÊPresidential Security Unit,Civilians (International),83
Military Forces of South Sudan (2011-),JEM: Justice and Equality Movement,23
Pagoor Communal Militia (South Sudan),Akaak Communal Militia (South Sudan),33
Police Forces of South Sudan (2011-),SPLM Youth League,3
Rajaf Communal Militia (South Sudan),Military Forces of South Sudan (2011-),8
Adol Clan Dinka Ethnic Militia (South Sudan),Civilians (South Sudan),7
Unidentified Communal Militia (South Sudan),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,11
Military Forces of South Sudan (2011-),Civilians (Kenya),2
Military Forces of South Sudan (2011-),Unidentified Ethnic Militia (South Sudan),7
Military Forces of South Sudan (2011-),Mundari Ethnic Militia (South Sudan),8
Unidentified Communal Militia (South Sudan),Murle Ethnic Militia (South Sudan),41
Military Forces of South Sudan (2011-),Dinka Aguok Ethnic Militia (South Sudan),39
Pakam Communal Militia (South Sudan),Rup Dinka Ethnic Militia (South Sudan),13
Police Forces of South Sudan (2011-),Anuak Ethnic Militia (South Sudan),10
Military Forces of South Sudan (2011-),Murle Ethnic Militia (South Sudan),31
LRA: Lords Resistance Army,Military Forces of South Sudan (2011-),14
Unidentified Ethnic Militia (South Sudan),UNISFA: United Nations Interim Security Force for Abyei (2011-),26
Bul Nuer Ethnic Militia (South Sudan),Civilians (South Sudan),15
SSDF: South Sudan Defence Forces,Military Forces of South Sudan (2011-),7
Ogot Rebel Group,Military Forces of South Sudan (2011-),22
George Athor Deng Rebel Group,Murle Ethnic Militia (South Sudan),18
Lou Nuer Ethnic Militia (South Sudan),Yau Yau Rebels,3
Duk Youth Militia (South Sudan),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,21
Military Forces of South Sudan (2011-),George Athor Deng Rebel Group,21
Military Forces of South Sudan (2011-)ÊPresidential Security Unit,Military Forces of South Sudan (2011-)ÊPresidential Security Unit,46
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Unidentified Communal Militia (South Sudan),21
Olonyi Rebel Group,Civilians (South Sudan),2
CRF: Collo Resistance Front,Military Forces of South Sudan (2011-),17
Shilluk Ethnic Militia (South Sudan),Shilluk Ethnic Militia (South Sudan),11
Panyar Clan Militia (South Sudan),Civilians (South Sudan),3
Waat Communal Militia (South Sudan),Civilians (South Sudan),1
Rup Dinka Ethnic Militia (South Sudan),Civilians (South Sudan),10
Unidentified Armed Group (South Sudan),Civilians (Democratic Republic of Congo),4
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,7
Nuer Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),47
UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Bor Clan Dinka Ethnic Militia (South Sudan),31
Military Forces of Uganda (1986-),Agwelek Forces,16
Gok Ethnic Militia (South Sudan),Niel-Niel Ethnic Militia (South Sudan),10
Military Forces of South Sudan (2011-),Former Military Forces of South Sudan (2011-),1
SSPPF: South Sudan Peoples Patriotic Front,SSAF: South Sudan Armed Forces,13
Kangi Communal Militia (South Sudan),Civilians (South Sudan),38
Mundari Ethnic Militia (Sudan),Civilians (South Sudan),8
Twic East Area Youth Militia (South Sudan),Murle Ethnic Militia (South Sudan),27
Military Forces of South Sudan (2011-),SSDA: South Sudan Democratic Army,21
Panyar Clan Militia (South Sudan),Ayual Ethnic Militia (South Sudan),1
Murle Ethnic Militia (Sudan),Civilians (South Sudan),11
Koch Clan Dinka Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4
Chenaabela Ethnic Militia (South Sudan),Civilians (South Sudan),50
Dinka Ethnic Militia (South Sudan),Koch Clan Dinka Ethnic Militia (South Sudan),4
Dinka Aguok Ethnic Militia (South Sudan),Awan Ethnic Militia (South Sudan),29
Lou Nuer Ethnic Militia (South Sudan),Police Forces of South Sudan (2011-),6
Murle Ethnic Militia (South Sudan),Civilians (Sudan),5
Shilluk Ethnic Militia (Sudan),Military Forces of South Sudan (2011-),4
Unidentified Armed Group (Uganda),Civilians (South Sudan),10
Military Forces of South Sudan (2011-),SPLA/M-In Opposition-Weluba: Sudanese Peoples Liberation Army/Movement-In Opposition (Weluba Faction),15
Yau Yau Rebels,UNMISS: United Nations Mission in the Republic of South Sudan (2011-),2
Koch Clan Dinka Ethnic Militia (South Sudan),Leek Ethnic Militia (South Sudan),2
Lou Nuer Ethnic Militia (South Sudan),Lou Nuer Ethnic Militia (South Sudan),1
Koch Clan Dinka Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),1
Police Forces of South Sudan (2011-),Murle Ethnic Militia (South Sudan),8
Yirol West Communal Militia (South Sudan),Civilians (South Sudan),8
Lou Nuer Ethnic Militia (South Sudan),UNMISS: United Nations Mission in the Republic of South Sudan (2011-),7
Unidentified Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),36
Military Forces of Sudan (1989-),George Athor Deng Rebel Group,28
Military Forces of Uganda (1986-),Mutiny of Military Forces of South Sudan (2011-),37
Kangi Communal Militia (South Sudan),Alel Thony Communal Militia (South Sudan),3
Police Forces of South Sudan (2011-) Service Auxiliary Force,Military Forces of South Sudan (2011-),18
Private Security Forces (South Sudan),Olonyi Rebel Group,14
Unidentified Communal Militia (South Sudan),Cueibet Communal Militia (South Sudan),6
Unidentified Armed Group (South Sudan),SPLM-N: Sudan Peoples Liberation Movement (North),10
Military Forces of United States,Mutiny of Military Forces of South Sudan (2011-),43
Thuyic Ethnic Militia (South Sudan),Gony Clan Militia (South Sudan),3
Government of South Sudan (2011-),JEM: Justice and Equality Movement,4
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,JEM: Justice and Equality Movement,15
Police Forces of South Sudan (2011-),Dinka Aguok Ethnic Militia (South Sudan),25
SPLA/M-In Opposition-Weluba: Sudanese Peoples Liberation Army/Movement-In Opposition (Weluba Faction),Civilians (South Sudan),22
Gony Clan Militia (South Sudan),DhieiÊClanÊDinka Ethnic Militia (South Sudan),8
Mundari Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),35
UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Civilians (Sudan),18
Rup Clan Dinka Ethnic Militia (South Sudan),Ajang Clan Dinka Ethnic Militia (South Sudan),2
Gatluak Gai Rebel Group,Military Forces of South Sudan (2011-),10
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,IGAD: Intergovernmental Authority on Development,10
Leer Communal Militia (South Sudan),Civilians (Sudan),7
Thiik Communal Militia (South Sudan),Leer Communal Militia (South Sudan),1
Unidentified Armed Group (South Sudan),Military Forces of United States,1
Police Forces of South Sudan (2011-),Al Shabaab,4
Jikany Ethnic Militia (Sudan),Civilians (South Sudan),7
Mundari Ethnic Militia (Sudan),Unidentified Communal Militia (South Sudan),20
Military Forces of Sudan (1989-),SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,12
Ajang Clan Dinka Ethnic Militia (South Sudan),Police Forces of South Sudan (2011-),11
UNISFA: United Nations Interim Security Force for Abyei (2011-),Unidentified Armed Group (Sudan),4
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Military Forces of Sudan (1989-),10
JEM: Justice and Equality Movement,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,53
RSF: Rapid Support Forces,Civilians (South Sudan),9
Shilluk Ethnic Militia (South Sudan),Civilians (Sudan),3
Dinka Ethnic Militia (South Sudan),Nuer Ethnic Militia (South Sudan),2
Unidentified Armed Group (Sudan),Military Forces of South Sudan (2011-),9
MDF: Mabanese Defence Forces,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,17
Rumbek Communal Militia (South Sudan),Rumbek Communal Militia (South Sudan),17
Private Security Forces (South Sudan),Unidentified Armed Group (South Sudan),1
Unidentified Armed Group (South Sudan),Bapiny Communal Militia (South Sudan),5
Maban Communal Militia (South Sudan),SPLM-N: Sudan Peoples Liberation Movement (North),3
Rizaygat Ethnic Militia (Sudan),Civilians (South Sudan),17
Mbororo Ethnic Militia (Central African Republic),Military Forces of South Sudan (2011-),23
Dinka Aguok Ethnic Militia (South Sudan),Civilians (South Sudan),1
Police Forces of South Sudan (2011-),George Athor Deng Rebel Group,14
UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),Military Forces of South Sudan (2011-),8
Military Forces of South Sudan (2011-),SSLM/A: South Sudan Liberation Movement/Army,36
Koch Awac Sub-Clan Militia (South Sudan),Koch Ker Sub-Clan Militia (South Sudan),20
Dinka Aguok Ethnic Militia (South Sudan),Police Forces of South Sudan (2011-),8
Mundari Ethnic Militia (South Sudan),Civilians (South Sudan),51
Bari Ethnic Militia (South Sudan),Civilians (South Sudan),31
Military Forces of South Sudan (2011-),TFNF: Tiger Faction New Forces,13
Dinka Nyang Ethnic Militia (South Sudan),Civilians (South Sudan),11
Cueibet Communal Militia (South Sudan),Cueibet Communal Militia (South Sudan),1
Arrow Boys Militia,Civilians (International),5
Dinka Aguok Ethnic Militia (South Sudan),Dinka Marial Lou Ethnic Militia (South Sudan),3
Konakuang Clan Militia (South Sudan),Civilians (South Sudan),24
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Government of South Sudan (2011-),24
SSLM/A: South Sudan Liberation Movement/Army,Civilians (South Sudan),11
Kok Awac Clan Militia (South Sudan),Kok Keer Clan Militia (South Sudan),4
Ayual Ethnic Militia (South Sudan),Civilians (South Sudan),20
Ayual Ethnic Militia (South Sudan),Juet Ethnic Militia (South Sudan),2
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Civilians (Somalia),12
